messageId,platform,runtimeKey,namespace,owner,surface,status,displayPolicy,maxLength,emptyLocales,termIds,context,route,component,screenshotRef,ko,en,ja,zh,th,vi,serverMessageKey,updatedAt
error.expiredRefreshToken,server,error.expiredRefreshToken,error.expiredRefreshToken,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,만료된 리프레시 토큰입니다.,The refresh token has expired.,リフレッシュトークンの有効期限が切れています。,过期的刷新令牌。,โทเค็นการรีเฟรชหมดอายุแล้ว,Mã thông báo làm mới đã hết hạn.,error.expiredRefreshToken,2026-06-10
error.expiredToken,server,error.expiredToken,error.expiredToken,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,만료된 토큰입니다.,The token has expired.,トークンの有効期限が切れています。,该令牌已过期。,โทเค็นหมดอายุแล้ว,Mã thông báo đã hết hạn.,error.expiredToken,2026-06-10
error.friendAlreadyExist,server,error.friendAlreadyExist,error.friendAlreadyExist,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 친구로 등록되었습니다.,This friend is already registered.,すでに友だちとして登録されています。,您已经注册为好友。,เพื่อนคนนี้ได้ลงทะเบียนแล้ว,Người bạn này đã được đăng ký.,error.friendAlreadyExist,2026-06-10
error.friendNotFound,server,error.friendNotFound,error.friendNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,해당 친구를 찾을 수 없습니다.,The friend could not be found.,該当する友だちが見つかりません。,找不到该朋友。,ไม่พบเพื่อน,Người bạn không thể được tìm thấy.,error.friendNotFound,2026-06-10
error.friendRequestAlreadyExist,server,error.friendRequestAlreadyExist,error.friendRequestAlreadyExist,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 친구 요청이 전송되었습니다.,A friend request has already been sent.,すでに友だちリクエストが送信されています。,您的好友请求已发送。,คำขอเป็นเพื่อนได้ถูกส่งไปแล้ว,Một yêu cầu kết bạn đã được gửi.,error.friendRequestAlreadyExist,2026-06-10
error.friendRequestNotFound,server,error.friendRequestNotFound,error.friendRequestNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,친구 요청이 존재하지 않습니다.,The friend request does not exist.,友だちリクエストが存在しません。,好友请求不存在。,ไม่มีคำขอเป็นเพื่อน,Yêu cầu kết bạn không tồn tại.,error.friendRequestNotFound,2026-06-10
error.friendshipNotFound,server,error.friendshipNotFound,error.friendshipNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,친구 관계기 존재하지 않습니다.,The friendship does not exist.,友だち関係が存在しません。,友谊不存在。,มิตรภาพไม่มีอยู่จริง,Tình bạn không tồn tại.,error.friendshipNotFound,2026-06-10
error.internalServerError,server,error.internalServerError,error.internalServerError,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,서버에 오류가 발생하였습니다.,An internal server error occurred.,サーバーでエラーが発生しました。,服务器发生错误。,เกิดข้อผิดพลาดเซิร์ฟเวอร์ภายใน,Đã xảy ra lỗi máy chủ nội bộ.,error.internalServerError,2026-06-10
error.invalidCalendarEventSourceType,server,error.invalidCalendarEventSourceType,error.invalidCalendarEventSourceType,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,캘린더 일정 출처가 올바르지 않습니다.,The calendar event source is invalid.,カレンダー予定の出所が正しくありません。,日历事件源不正确。,แหล่งที่มาของกิจกรรมในปฏิทินไม่ถูกต้อง,Nguồn sự kiện lịch không hợp lệ.,error.invalidCalendarEventSourceType,2026-06-10
error.invalidCalendarEventType,server,error.invalidCalendarEventType,error.invalidCalendarEventType,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,캘린더 일정 유형이 올바르지 않습니다.,The calendar event type is invalid.,カレンダー予定の種類が正しくありません。,日历事件类型不正确。,ประเภทกิจกรรมในปฏิทินไม่ถูกต้อง,Loại sự kiện lịch không hợp lệ.,error.invalidCalendarEventType,2026-06-10
error.invalidCredentials,server,error.invalidCredentials,error.invalidCredentials,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,아이디 또는 비밀번호가 올바르지 않습니다.,The email or password is incorrect.,メールアドレスまたはパスワードが正しくありません。,您的 ID 或密码不正确。,อีเมลหรือรหัสผ่านไม่ถูกต้อง,Email hoặc mật khẩu không chính xác.,error.invalidCredentials,2026-06-10
error.invalidDateRange,server,error.invalidDateRange,error.invalidDateRange,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,날짜 범위가 올바르지 않습니다.,The date range is invalid.,日付範囲が正しくありません。,日期范围不正确。,ช่วงวันที่ไม่ถูกต้อง,Phạm vi ngày không hợp lệ.,error.invalidDateRange,2026-06-10
error.invalidFriendRequest,server,error.invalidFriendRequest,error.invalidFriendRequest,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,스스로를 친구로 등록할 수 없습니다.,You cannot add yourself as a friend.,自分自身を友だちとして登録することはできません。,您无法将自己注册为朋友。,คุณไม่สามารถเพิ่มตัวเองเป็นเพื่อนได้,Bạn không thể thêm chính mình như một người bạn.,error.invalidFriendRequest,2026-06-10
error.invalidFriendship,server,error.invalidFriendship,error.invalidFriendship,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,비정상적인 친구 관계입니다.,The friendship is invalid.,不正な友だち関係です。,这是一段不寻常的友谊。,มิตรภาพไม่ถูกต้อง,Tình bạn không hợp lệ.,error.invalidFriendship,2026-06-10
error.invalidLanguageCode,server,error.invalidLanguageCode,error.invalidLanguageCode,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,지원하지 않는 언어 코드입니다.,This language code is not supported.,この言語コードはサポートされていません。,不支持该语言代码。,ไม่รองรับรหัสภาษานี้,Mã ngôn ngữ này không được hỗ trợ.,error.invalidLanguageCode,2026-06-10
error.invalidParameter,server,error.invalidParameter,error.invalidParameter,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,파라미터가 올바르지 않습니다.,The request parameters are invalid.,リクエストパラメータが正しくありません。,参数不正确。,พารามิเตอร์คำขอไม่ถูกต้อง,Các tham số yêu cầu không hợp lệ.,error.invalidParameter,2026-06-10
error.invalidPasswordResetToken,server,error.invalidPasswordResetToken,error.invalidPasswordResetToken,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,비밀번호 재설정 토큰이 올바르지 않습니다.,The password reset token is invalid.,パスワード再設定トークンが正しくありません。,密码重置令牌不正确。,โทเค็นการรีเซ็ตรหัสผ่านไม่ถูกต้อง,Mã thông báo đặt lại mật khẩu không hợp lệ.,error.invalidPasswordResetToken,2026-06-10
error.invalidServiceRegion,server,error.invalidServiceRegion,error.invalidServiceRegion,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,지원하지 않는 서비스 지역입니다.,This service region is not supported.,このサービス地域はサポートされていません。,不支持该服务区域。,ไม่รองรับภูมิภาคบริการนี้,Khu vực dịch vụ này không được hỗ trợ.,error.invalidServiceRegion,2026-06-10
error.invalidSignature,server,error.invalidSignature,error.invalidSignature,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,잘못된 서명입니다.,The token signature is invalid.,署名が正しくありません。,签名无效。,ลายเซ็นโทเค็นไม่ถูกต้อง,Chữ ký mã thông báo không hợp lệ.,error.invalidSignature,2026-06-10
error.invalidTargetRegion,server,error.invalidTargetRegion,error.invalidTargetRegion,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,게시글 대상 지역이 올바르지 않습니다.,The post target region is invalid.,投稿の対象地域が正しくありません。,您帖子的目标区域不正确。,ภูมิภาคเป้าหมายของโพสต์ไม่ถูกต้อง,Vùng mục tiêu của bài đăng không hợp lệ.,error.invalidTargetRegion,2026-06-10
error.invalidTimeRange,server,error.invalidTimeRange,error.invalidTimeRange,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,시간 범위가 올바르지 않습니다.,The time range is invalid.,時間範囲が正しくありません。,时间范围不正确。,ช่วงเวลาไม่ถูกต้อง,Phạm vi thời gian không hợp lệ.,error.invalidTimeRange,2026-06-10
error.invalidTypeValue,server,error.invalidTypeValue,error.invalidTypeValue,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,파라미터 타입이 올바르지 않습니다.,The request parameter type is invalid.,リクエストパラメータの型が正しくありません。,参数类型不正确。,ประเภทพารามิเตอร์คำขอไม่ถูกต้อง,Loại tham số yêu cầu không hợp lệ.,error.invalidTypeValue,2026-06-10
error.invalidWaitingNurseTarget,server,error.invalidWaitingNurseTarget,error.invalidWaitingNurseTarget,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,연동할 수 없는 간호사입니다.,This nurse cannot be linked.,連携できない看護師です。,这是一位无法联系的护士。,พยาบาลคนนี้ไม่สามารถเชื่อมโยงได้,điều dưỡng này không thể được liên kết.,error.invalidWaitingNurseTarget,2026-06-10
error.invalidWardScope,server,error.invalidWardScope,error.invalidWardScope,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,요청한 병동 범위가 올바르지 않습니다.,The requested ward scope is invalid.,リクエストされた病棟範囲が正しくありません。,请求的病区范围不正确。,ขอบเขตวอร์ดที่ร้องขอไม่ถูกต้อง,Phạm vi khoa được yêu cầu không hợp lệ.,error.invalidWardScope,2026-06-10
error.invitationAlreadyExists,server,error.invitationAlreadyExists,error.invitationAlreadyExists,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 대기 중인 초대가 있습니다.,There is already a pending invitation.,すでに保留中の招待があります。,您已经收到了一份邀请函。,มีคำเชิญที่รอดำเนินการอยู่แล้ว,Đã có lời mời đang chờ xử lý.,error.invitationAlreadyExists,2026-06-10
error.invitationCanceled,server,error.invitationCanceled,error.invitationCanceled,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,취소된 초대입니다.,The invitation has been canceled.,招待はキャンセルされています。,这是已取消的邀请。,คำเชิญถูกยกเลิกแล้ว,Lời mời đã bị hủy.,error.invitationCanceled,2026-06-10
error.invitationExpired,server,error.invitationExpired,error.invitationExpired,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,만료된 초대입니다.,The invitation has expired.,招待の有効期限が切れています。,此邀请已过期。,คำเชิญหมดอายุแล้ว,Lời mời đã hết hạn.,error.invitationExpired,2026-06-10
error.invitationNotFound,server,error.invitationNotFound,error.invitationNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,초대를 찾을 수 없습니다.,The invitation could not be found.,招待が見つかりません。,未找到邀请。,ไม่พบคำเชิญ,Không thể tìm thấy lời mời.,error.invitationNotFound,2026-06-10
error.logoutToken,server,error.logoutToken,error.logoutToken,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 로그아웃 된 토큰입니다.,This token has already been logged out.,このトークンはすでにログアウトされています。,该令牌已被注销。,โทเค็นนี้ถูกออกจากระบบแล้ว,Mã thông báo này đã được đăng xuất.,error.logoutToken,2026-06-10
error.mailDeliveryFailed,server,error.mailDeliveryFailed,error.mailDeliveryFailed,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,메일 발송에 실패했습니다.,Failed to send the email.,メール送信に失敗しました。,发送邮件失败。,ไม่สามารถส่งอีเมลได้,Không gửi được email.,error.mailDeliveryFailed,2026-06-10
error.mailDeliveryNotConfigured,server,error.mailDeliveryNotConfigured,error.mailDeliveryNotConfigured,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,메일 발송 설정이 필요합니다.,Mail delivery must be configured.,メール送信設定が必要です。,需要进行电子邮件发送设置。,ต้องกำหนดค่าการส่งจดหมาย,Việc gửi thư phải được cấu hình.,error.mailDeliveryNotConfigured,2026-06-10
error.malformedToken,server,error.malformedToken,error.malformedToken,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,잘못 생성된 토큰입니다.,The token is malformed.,トークンの形式が正しくありません。,这是错误生成的令牌。,โทเค็นมีรูปแบบไม่ถูกต้อง,Mã thông báo không đúng định dạng.,error.malformedToken,2026-06-10
error.noticeAlreadyArchived,server,error.noticeAlreadyArchived,error.noticeAlreadyArchived,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 보관된 공지사항입니다.,This notice is already archived.,このお知らせはすでに保管されています。,该通知已存档。,ประกาศนี้ถูกเก็บถาวรแล้ว,Thông báo này đã được lưu trữ.,error.noticeAlreadyArchived,2026-06-10
error.noticeInvalidCursor,server,error.noticeInvalidCursor,error.noticeInvalidCursor,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,공지사항 커서가 올바르지 않습니다.,The notice cursor is invalid.,お知らせカーソルが正しくありません。,注意 光标不正确。,เคอร์เซอร์แจ้งให้ทราบไม่ถูกต้อง,Con trỏ thông báo không hợp lệ.,error.noticeInvalidCursor,2026-06-10
error.noticeInvalidStatusTransition,server,error.noticeInvalidStatusTransition,error.noticeInvalidStatusTransition,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,공지사항 상태를 변경할 수 없습니다.,The notice status cannot be changed.,お知らせの状態を変更できません。,公告状态无法更改。,สถานะการแจ้งเตือนไม่สามารถเปลี่ยนแปลงได้,Trạng thái thông báo không thể thay đổi.,error.noticeInvalidStatusTransition,2026-06-10
error.noticeNotFound,server,error.noticeNotFound,error.noticeNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,해당 공지사항을 찾을 수 없습니다.,The notice could not be found.,該当するお知らせが見つかりません。,找不到该通知。,ไม่พบประกาศ,Thông báo không thể được tìm thấy.,error.noticeNotFound,2026-06-10
error.notRegisteredAdmin,server,error.notRegisteredAdmin,error.notRegisteredAdmin,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,등록된 병동 관리자가 아닙니다.,This account is not a registered ward admin.,登録済みの病棟管理者ではありません。,您不是注册病区经理。,บัญชีนี้ไม่ใช่ผู้ดูแลระบบวอร์ดที่ลงทะเบียน,Tài khoản này không phải là quản trị viên khoa đã đăng ký.,error.notRegisteredAdmin,2026-06-10
error.nultalkCommentNotFound,server,error.nultalkCommentNotFound,error.nultalkCommentNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,널톡 댓글을 찾을 수 없습니다.,The Nultalk comment could not be found.,ナルトークコメントが見つかりません。,找不到 NullTalk 评论。,ไม่พบความคิดเห็นของ Nultalk,Không thể tìm thấy bình luận Nultalk.,error.nultalkCommentNotFound,2026-06-10
error.nultalkPostNotFound,server,error.nultalkPostNotFound,error.nultalkPostNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,널톡 게시글을 찾을 수 없습니다.,The Nultalk post could not be found.,ナルトーク投稿が見つかりません。,找不到 Nulltalk 帖子。,ไม่พบโพสต์ Nultalk,Không thể tìm thấy bài viết Nultalk.,error.nultalkPostNotFound,2026-06-10
error.ownerOnly,server,error.ownerOnly,error.ownerOnly,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,최고 관리자 권한이 필요합니다.,Owner permission is required.,オーナー権限が必要です。,需要超级管理员权限。,ต้องได้รับอนุญาตจากเจ้าของ,Cần có sự cho phép của chủ sở hữu.,error.ownerOnly,2026-06-10
error.phoneAlreadyUsed,server,error.phoneAlreadyUsed,error.phoneAlreadyUsed,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 사용 중인 전화번호입니다.,This phone number is already in use.,この電話番号はすでに使用されています。,该电话号码已被使用。,หมายเลขโทรศัพท์นี้มีการใช้งานแล้ว,Số điện thoại này đã được sử dụng.,error.phoneAlreadyUsed,2026-06-10
error.resourceNotFound,server,error.resourceNotFound,error.resourceNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,해당 리소스를 찾을 수 없습니다.,The requested resource could not be found.,該当するリソースが見つかりません。,找不到资源。,ไม่พบทรัพยากรที่ร้องขอ,Không thể tìm thấy tài nguyên được yêu cầu.,error.resourceNotFound,2026-06-10
error.scheduleSnapshotLimitExceeded,server,error.scheduleSnapshotLimitExceeded,error.scheduleSnapshotLimitExceeded,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,근무표 히스토리는 최대 10개까지 저장할 수 있습니다.,You can save up to 10 schedule histories.,勤務表履歴は最大10件まで保存できます。,最多可以保存 10 个排班表历史记录。,คุณสามารถบันทึกประวัติกำหนดการได้สูงสุด 10 รายการ,Bạn có thể lưu tối đa 10 lịch sử lịch.,error.scheduleSnapshotLimitExceeded,2026-06-10
error.supportInquiryNotFound,server,error.supportInquiryNotFound,error.supportInquiryNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,해당 고객문의를 찾을 수 없습니다.,The support inquiry could not be found.,該当するお問い合わせが見つかりません。,未能找到相关客户询盘。,ไม่พบการสอบถามการสนับสนุน,Không thể tìm thấy yêu cầu hỗ trợ.,error.supportInquiryNotFound,2026-06-10
error.unknownError,server,error.unknownError,error.unknownError,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,알 수 없는 에러가 발생하였습니다.,An unknown error occurred.,不明なエラーが発生しました。,发生未知错误。,เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ,Đã xảy ra lỗi không xác định.,error.unknownError,2026-06-10
error.unsupportedToken,server,error.unsupportedToken,error.unsupportedToken,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,지원되지 않는 토큰입니다.,This token is not supported.,サポートされていないトークンです。,不支持此令牌。,ไม่รองรับโทเค็นนี้,Mã thông báo này không được hỗ trợ.,error.unsupportedToken,2026-06-10
error.waitingNurseAlreadyProcessed,server,error.waitingNurseAlreadyProcessed,error.waitingNurseAlreadyProcessed,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,이미 처리된 대기 간호사입니다.,This pending nurse has already been processed.,この承認待ち看護師はすでに処理されています。,值班护士已经处理完毕。,พยาบาลที่รอดำเนินการนี้ได้รับการดำเนินการแล้ว,điều dưỡng đang chờ xử lý này đã được xử lý.,error.waitingNurseAlreadyProcessed,2026-06-10
error.waitingNurseNotFound,server,error.waitingNurseNotFound,error.waitingNurseNotFound,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,해당 대기 간호사를 찾을 수 없습니다.,The pending nurse could not be found.,該当する承認待ち看護師が見つかりません。,找不到值班护士。,ไม่พบพยาบาลที่รอดำเนินการ,điều dưỡng đang chờ xử lý không thể được tìm thấy.,error.waitingNurseNotFound,2026-06-10
error.wardAdminAccountApiRequired,server,error.wardAdminAccountApiRequired,error.wardAdminAccountApiRequired,server,feedback,imported,CLIENT_TRANSLATE,,,,Spring ErrorCode response message,,dutying-server,,관리자 계정은 관리자 계정 API를 사용해야 합니다.,Admin accounts must use the admin account API.,管理者アカウントは管理者アカウントAPIを使用する必要があります。,管理员帐户必须使用管理员帐户 API。,บัญชีผู้ดูแลระบบต้องใช้ API บัญชีผู้ดูแลระบบ,Tài khoản quản trị viên phải sử dụng API tài khoản quản trị viên.,error.wardAdminAccountApiRequired,2026-06-10
